IBAN,Nume Beneficiar,CUI,Nume Partener
RO45BTRLRONCRT0298902601,Stepy Solutions SRL-D,RO34499895,STEPY SOLUTIONS S.R.L.
RO93RNCB0054174722470001,X CRISS-SARA SRL,47665876,X CRISS-SARA S.R.L.
RO84BTRLRONCRT0CN1878901,SUN & CRISS S.R.L.,RO48693670,SUN & CRISS S.R.L.
RO62BACX0000002740828000,GOOD 4 BEARS S.R.L.,50553481,GOOD 4 BEARS S.R.L.
RO94INGB0000999915072049,IOSIF CXA XPRESS S.R.L.,49479683,IOSIF CXA XPRESS S.R.L.
RO10BACX0000003958830000,A&M MARLEX ASM S.R.L.,52214988,A&M MARLEX ASM S.R.L.
RO85BRDE140SV53965041400,Activ Logiprest,36286982,ACTIV LOGIPREST SRL
RO78BRDE360SV17077943600,Rotaru Nicolae&Sons,RO37025292,ROTARU NICOLAE & SONS SRL
RO22BACX0000002166515000,SAE IDEAL BUSINES SRL,44126036,SAE IDEAL BUSINES S.R.L.
RO78BACX0000002560088000,COS C.M. S.R.L.,48853819,COS C.M. S.R.L.
RO17BACX0000002643661000,PMG EXPRESS CONCEPT S.R.L.,49686239,PMG EXPRESS CONCEPT S.R.L.
RO74CECEB00030RON2063884,CADI CLOVER S.R.L.,45530104,CADI CLOVER S.R.L.
RO68BACX0000002570473000,GOOD TRADE DEALS S.R.L.,48936302,GOOD TRADE DEALS S.R.L.
RO16INGB0000999905890851,LEVI S CONSULTING SRL,36030983,LEVI S CONSULTING SRL
RO41BACX0000003967813000,CRISTINA 13 GROUP S.R.L.,52277595,CRISTINA 13 GROUP S.R.L.
RO54BACX0000001367953000,Corion Bej Trade SRL,RO34330364,CORION BEJ TRADE SRL
RO58BTRLRONCRT0685420401,SVG ANT S.R.L.,50070339,SVG ANT S.R.L.
RO09BTRLRONCRT0579748901,FOX ART DIRECT S.R.L.,43453277,FOX ART DIRECT S.R.L.
RO50BTRLRONCRT0600152501,VR CONNECTING SRL,RO37405780,VR CONNECTING SRL
RO36BACX0000002232486000,CCP Colta Company SRL-D,35086633,CCP COLTA COMPANY SRL-D
RO29BACX0000002828885000,ADEMAD S.R.L.,49615254,ADEMAD S.R.L.
RO88INGB0000999910076851,EDUARD LORE XPRESS SRL,42283042,EDUARD LORE XPRESS S.R.L.
RO35RNCB0162121471420001,Tudor Mars,28393031,TUDOR MARS SRL
RO38BTRLRONCRT0CK6414901,NICPAT CONSULT S.R.L.,47651382,NICPAT CONSULT S.R.L.
RO30BRDE240SV81453172400,Almaria Media SRL,28309430,ALMARIA MEDIA SRL
RO22INGB0000999912212524,DIAMARKETING-SPOT S.R.L.,RO45663569,DIAMARKETING-SPOT S.R.L.
RO76BACX0000003718017000,BURGER HOUSE LUCA S.R.L.,RO49632549,BURGER HOUSE LUCA S.R.L.
RO57INGB0000999911697503,HAKY CIGARS SRL,44678715,HAKY CIGARS S.R.L.
RO68RNCB0178175084250001,TABACO CONCEPT S.R.L.,48028430,TABACO CONCEPT S.R.L.
RO22BRDE210SV63659222100,PETERANETT S.R.L.,47741604,PETERANETT S.R.L.
RO42BTRLRONCRT0CL3338301,OPRISOR SRL,47975273,OPRISOR S.R.L.
RO76BTRLRONCRT0CO4998101,RED AIRAM S.R.L.,RO48910337,RED AIRAM S.R.L.
RO83BTRLRONCRT0509282501,ANSOFI SILARDI S.R.L.,RO41380624,ANSOFI SILARDI S.R.L.
RO54INGB0000999915665633,TUMIH NETWORK S.R.L.,50091382,TUMIH NETWORK S.R.L.
RO35RNCB0162174158910001,FRANZYAMY S.R.L.,47153078,FRANZYAMY S.R.L.
RO56RZBR0000060027514793,STARMAS ISO S.R.L.,51361280,STARMAS ISO S.R.L.
RO51BACX0000003958980000,IREN TABACO S.R.L.,52197569,IREN TABACO S.R.L.
RO69BACX0000002514969000,TABACO SMS S.R.L.,45045061,TABACO SMS S.R.L.
RO10BTRLRONCRT0555643801,CAMENITA GLOBAL SRL,RO42623314,CAMENITA GLOBAL S.R.L.
RO72BACX0000001360166001,Paf Top Concept SRL,RO36585674,PAF TOP CONCEPT SRL
RO04BACX0000002122352000,Cristea Gratiela PFA,2770425151809,Cristea Gratiela
RO92BRDE360SV37768733600,VEZURE MARIO DAVID SRL,RO39951427,VEZURE MARIO DAVID S.R.L.
RO33BTRLRONCRT0CM3519001,VERONA FAMILY S.R.L.,48411884,VERONA FAMILY S.R.L.
RO97BTRLRONCRT0CF6715501,ALEDUPOST S.R.L.,45541677,ALEDUPOST S.R.L.
RO78BTRLRONCRT0CS8006701,DAVXPRESS S.R.L.,50284588,DAVXPRESS S.R.L.
RO60BACX0000002651143000,PRUNCU S.R.L.,RO49777973,PRUNCU S.R.L.
RO88INGB0000999910583870,CIUCIUC MARIALE DINAMIC SRL,RO39706231,CIUCIUC MARIALE DINAMIC S.R.L.
RO56RNCB0198003323970001,VANESSA  SOCIETATE COOPERATIVA MEST,RO16143490,VANESSA  SOCIETATE COOPERATIVA MESTESUGAREASCA
RO03BACX0000001823515000,CC FINANCIAL SUPPORT SRL,RO40773668,CC FINANCIAL SUPPORT S.R.L.
RO81INGB0000999912147733,ROXANA EXPRES S.R.L.,45511897,ROXANA EXPRES S.R.L.
RO91BTRLRONCRT0522906201,EURO DIALARGRIG SRL,41727481,EURO DIALARGRIG S.R.L.
RO81RNCB0739157607050001,LC TABACPRESS&MORE SRL,RO38780582,LC TABACPRESS & MORE S.R.L.
RO67BTRLRONCRT0528633901,LUMAT XPRESS SRL,41864020,LUMAT XPRESS S.R.L.
RO57BACX0000002074483001,DP ASSOCIATES XPRESS S.R.L.,RO43103883,DP ASSOCIATES XPRESS S.R.L.
RO83RNCB0857182530640001,SIMTIRO S.R.L.,51893376,SIMTIRO S.R.L.
RO84UGBI0000282044811RON,IOR - ERK - RBK FOOD SRL,RO46745926,IOR-ERK-RBK FOOD S.R.L.
RO66BTRLRONCRT0CY7057801,ATA PROJECT S.R.L.,51987063,ATA PROJECT S.R.L.
RO38BACX0000002797665000,EIRA UNIVERS S.R.L.,51157779,EIRA UNIVERS S.R.L.
RO53BACX0000002829860000,ZANRAZVAN S.R.L.,51501324,ZANRAZVAN S.R.L.
RO27BACX0000002803608000,RAFA BS SRL,51215780,RAFA BS S.R.L.
RO78BACX0000002628958000,ATELIER CARSOPH DESIGN S.R.L.,41422606,ATELIER CARSOPH DESIGN S.R.L.
RO77BTRLRONCRT0CW6302901,MY MEDIA SHOP S.R.L.,51180500,MY MEDIA SHOP S.R.L.
RO77BRDE210SV67318902100,REENDY S.R.L.,50150780,REENDY S.R.L.
RO77INGB0000999916259441,MICKY FLORIN SRL,47920553,MICKY FLORIN S.R.L.
RO70BACX0000002693623000,ALESSIA & ERGEAN S.R.L.,48250834,ALESSIA & ERGEAN S.R.L.
RO10BTRLRONCRT0680385801,GRUIA LOREDANA-ILEANA II,47266506,GRUIA LOREDANA-ILEANA INTREPRINDERE INDIVIDUALA
RO16BTRLRONCRT0CQ1252501,PETROVSKI UNIVERSE SOLUTION S.R.L.,RO49401706,PETROVSKI UNIVERSE SOLUTION S.R.L.
RO61BRDE441SV62271454410,STAVRI LOGISTIC S.R.L.,50610315,STAVRI LOGISTIC S.R.L.
RO88RNCB0011180219470001,ALECSA MOON 2 SRL,50567762,ALECSA MOON 2 S.R.L.
RO34BTRLRONCRT0507498001,BOSTAN MIHAELA CONCEPT S.R.L.,RO41322135,BOSTAN MIHAELA CONCEPT S.R.L.
RO67BACX0000002484454000,LENGYEL DACIDIA S.R.L.,48061878,LENGYEL DACIDIA S.R.L.
RO04BTRLRONCRT0CO8630301,LIUBO PRIME INVEST S.R.L.,48967236,LIUBO PRIME INVEST S.R.L.
RO40BACX0000001633140000,MGD IMPACT SERV SRL,38975827,MGD IMPACT SERV S.R.L.
RO14BTRLRONCRT0311861001,TINA CRIS BUSINESS S.R.L.,RO34957941,TINA CRIS BUSINESS S.R.L.
RO67BTRLRONCRT0342481201,Anelita Dree SRL-D,35851468,ANELITA DREE S.R.L.
RO78BTRLRONCRT0CN8730701,ISACEL S.R.L.,48823419,ISACEL S.R.L.
RO34BTRLRONCRT0CS4046401,MMG RETAIL S.R.L.,50161127,MMG RETAIL S.R.L.
RO70BACX0000002697309000,SAFAS MARKET S.R.L.,RO50245171,SAFAS MARKET S.R.L.
RO37BTRLRONCRT0CR6478601,IONUT & LORENA S.R.L.,49913170,IONUT & LORENA S.R.L.
RO83BTRLRONCRT0523929501,KAIRA BLUE SRL,RO41735514,KAIRA BLUE S.R.L.
RO89BTRLRONCRT0596753501,BEMIT QUANTUMTEC S.R.L.,RO44104852,BEMIT QUANTUMTEC S.R.L.
RO16RNCB0303163945440001,AERIS FRAME S.R.L.,41063332,AERIS FRAME S.R.L.
RO68BACX0000002731202000,CORADIS CLEANING CONSTRUCT S.R.L.,46042276,CORADIS CLEANING CONSTRUCT S.R.L.
RO59BACX0000002081094000,HUAN&MALINA TABAC S.R.L.,43121464,HUAN&MALINA TABAC S.R.L.
RO44BRDE410SV18514294100,PUFF MAGIC S.R.L,49898975,PUFF MAGIC S.R.L.
RO78RNCB0030174991500001,SMARTFAM SERVICE SRL,RO41726737,SMARTFAM SERVICE S.R.L.
RO71BTRLRONCRT0584765401,LAVIA TRADE S.R.L.,RO43570579,LAVIA TRADE S.R.L.
RO74INGB0000999907025968,COSBIXPRESS S.R.L.,37915495,COSBI XPRESS S.R.L.
RO63INGB0000999904766260,Pedrocora SRL,30011109,PEDROCORA SRL
RO15RNCB0179181828910001,MITUCA MIRELA-CRISTINA I.I.,,
RO80BACX0000002759771000,MYKRAL SUPPORT SRL,50698075,MYKRAL SUPPORT SRL
RO69BACX0000002786472000,APRAGA INVEST S.R.L.,51031931,APRAGA INVEST S.R.L.
RO34RNCB0170176705490001,SELENA EUPHORIA S.R.L.,48856866,SELENA EUPHORIA S.R.L.
RO79BACX0000002741943000,SERBANESCU DANUSIA S.R.L.,50492481,SERBANESCU DANUSIA S.R.L.
RO73BTRLRONCRT0367018601,Cafeina Togo SRL,36587730,CAFEINA TOGO SRL
RO47BACX0000001405577001,Obrotyprasa SRL,36898108,OBROTYPRASA SRL
RO94BACX0000002411358000,DIVTIMI POWER SRL,47233266,DIVTIMI POWER S.R.L.
RO77INGB0000999917831229,D&M ESSENTIALS SRL,51984822,D & M ESSENTIALS S.R.L.
RO35BACX0000002283625000,ERIC DIA DACIAN S.R.L.,45724747,ERIC DIA DACIAN S.R.L.
RO02BTRLRONCRT0376547801,GARDEN SPA SRL,RO36817820,GARDEN SPA SRL
RO19BTRLRONCRT0CN3208001,RIAMONA DOK S.R.L.,48711660,RIAMONA DOK S.R.L.
RO37BTRLRONCRT0T1609AC01,ORDOGH FAMILY S.R.L.,45741748,ORDOGH FAMILY S.R.L.
RO83BTRLRONCRT0CR9943001,ALIRAU TABAC SRL,49969910,ALIRAU TABAC S.R.L.
RO06BACX0000003954836000,BAMARA SERVICII S.R.L.,52140490,BAMARA SERVICII S.R.L.
RO29RNCB0134159624920001,La Massia SRL,37633184,LA MASSIA SRL
RO27BACX0000002550050000,CRM TABAC PRESS S.R.L.,48761081,CRM TABAC PRESS S.R.L.
RO22BACX0000002836591000,BENGAS RISE S.R.L.,51583910,BENGAS RISE S.R.L.
RO70BACX0000003936775000,PERFECT SORIADI S.R.L.,51935501,PERFECT SORIADI S.R.L.
RO79RNCB0098179393550001,TRIOMAR-TIM SRL,50357574,TRIOMAR-TIM S.R.L.
RO26INGB0000999916475893,ALEXANDRU STORE S.R.L.,50654036,ALEXANDRU STORE S.R.L.
RO03INGB0000999906949549,JMD OFFICIAL SRL,RO37722710,JMD.OFFICIAL SRL
RO15INGB0000999912602590,NEW OPEN TAB S.R.L.,46392778,NEW OPEN TAB S.R.L.
RO35INGB0000999917594432,CLANDIELLE S.R.L.,RO39500567,CLANDIELLE S.R.L.
RO57RZBR0000060022368343,DEFCON A-PLUS SYSTEMS S.R.L.,39599640,DEFCON A-PLUS SYSTEMS S.R.L.
RO45BACX0000002050473001,LEMADA CONCEPT SRL,42831188,LEMADA CONCEPT S.R.L.
RO29INGB0000999916564885,RDK STORE S.R.L.,50730672,RDK STORE S.R.L.
RO77BACX0000002797661000,KALMAR XPRESS SRL,51153459,KALMAR XPRESS S.R.L.
RO20BTRLRONCRT0369543301,Shopxpress Kozma SRL-D,36640132,SHOPXPRESS KOZMA S.R.L.
RO32BACX0000002534236000,RAFFANDO S.R.L.,48625268,RAFFANDO S.R.L.
RO62BACX0000002811735000,MK TRADE WORK STORE COM SOCIETATE C,51280827,MK TRADE WORK STORE COM SOCIETATE CU RASPUNDERE LI
RO83BTRLRONCRT0399459101,Fortuna Consulting,RO16457450,FORTUNA CONSULTING SRL
RO96BTRLRONCRT0CF9063501,ELG SHOP LOGISTIC S.R.L.,45652772,ELG SHOP LOGISTIC S.R.L.
RO36INGB0000999909781064,SEVESEDIN SRL,41942730,SEVESEDIN S.R.L.
RO73BTRLRONCRT0604930501,BMP SERVICII S.R.L.,RO44344910,BMP SERVICII S.R.L.
RO91RNCB0015177150970001,NOVARAM OFICIAL S.R.L.,49005639,NOVARAM OFICIAL S.R.L.
RO08BTRLRONCRT0CU7157701,DEMANIK INVEST S.R.L.,50570199,DEMANIK INVEST S.R.L.
RO11BACX0000002030007001,WINTERFALL SRL,RO42544180,WINTERFALL S.R.L.
RO20BTRLRONCRT0T099A1801,Tabaxen SRL,RO30314862,TABAXEN SRL
RO71BTRLRONCRT0CS9446501,GRAMAD S.R.L.,50325319,GRAMAD S.R.L.
RO34BACX0000002307604000,LIVE COSOVAN S.R.L.,46034109,LIVE COSOVAN S.R.L.
RO13RZBR0000060023366780,BOGAND XPREES S.R.L.,45735975,BOGAND XPREES S.R.L.
RO26INGB0000999905825487,ADA AVANTAJ SERV SRL,RO35922100,ADA AVANTAJ SERV SRL
RO22BACX0000002769467000,SHOP SPACE S.R.L.,50851186,SHOP SPACE S.R.L.
RO02BACX0000001470109001,TGC Xpress Best Serv SRL,RO37553921,TGC XPRESS BEST SERV SRL
RO81BRDE040SV12492630400,Tema Prest SRL,RO38405460,TEMA PREST SRL
RO98RNCB0303170211940001,Eschimade,RO37238720,ESCHIMADE SRL
RO43BACX0000002428965000,MCSINFINITY ELE S.R.L.,47411592,MCSINFINITY ELE S.R.L.
RO53BACX0000003924893000,APAFLO S.R.L.,51818021,APAFLO S.R.L.
RO86BACX0000000583443002,MOBEXPERT BANEASA SRL,RO18648430,MOBEXPERT BANEASA SRL
RO12BACX0000001147738051,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO92BACX0000001147738551,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO36TREZ70020E365000XXXX,DSP Bucuresti,4400956,DSP Bucuresti
RO16INGB0000999908329625,ANNEMONA AUTO S.R.L.,RO39943629,ANNEMONA AUTO S.R.L.
RO48TREZ70321160203XXXXX,SECTORUL 3 AL MUNICIPIULUI BUCUREST,,
RO20BRDE340SV19074753400,Interpress SRL,RO14622690,INTERPRESS SRL
RO37BACX0000001634988001,RINGIER SPORTAL S.R.L.,39114787,RINGIER SPORTAL S.R.L.
RO71BTRLRONCRT0538709801,ETALON DISTRIBUTION S.R.L.,RO42158724,ETALON DISTRIBUTION S.R.L.
RO06RZBR0000060022280021,RAO DISTRIBUTIE SRL,RO6841606,RAO DISTRIBUTIE SRL
RO77RZBR0000060019025460,CORINT LOGISTIC SRL,RO31980435,CORINT LOGISTIC SRL
RO84CARP011501220346RO01,EDITURA NICULESCU SRL,RO4092252,EDITURA NICULESCU SRL
RO46BTRL02701202H81814XX,Pleuro Ind SRL,RO9678024,PLEURO IND SRL
RO79RNCB0069007768750001,Cash & Candy SRL,16910797,CASH & CANDY SRL
RO35BRDE240SV58226422400,Ziarul Evenimentul SRL,16081370,ZIARUL EVENIMENTUL SRL
RO60CITI0000000724835007,British American Tobacco (Romania),RO8808452,BRITISH AMERICAN TOBACCO (ROMANIA) TRADING SRL
RO53INGB0000999900885179,BRAMI PRODUCTION SRL,23181151,BRAMI PRODUCTION SRL
RO66RZBR0000060018915078,Inform Media Press SRL,RO36544909,INFORM MEDIA PRESS SRL
RO60UGBI0000512001175RON,Brands International SRL,RO15291684,BRANDS INTERNATIONAL SRL
RO83BRDE410SV30503684100,JPB Logistic SRL,RO32483906,JPB LOGISTIC SRL
RO33RZBR0000060022894321,BOOKZONE S.R.L,RO44748128,BOOKZONE S.R.L.
RO25INGB0000999906908219,Realitatea Media SRL,14741276,REALITATEA MEDIA S.R.L.
RO52BRMA101002538956RO07,Lizar Logistics SRL,37768246,LIZAR LOGISTICS SRL
RO64BRMA0720024862500000,CRISIS PRESS S.R.L.,RO25112190,CRISIS PRESS S.R.L.
RO67BACX0000004538587013,Tobacco Trading International SRL,RO11389273,TOBACCO TRADING INTERNATIONAL RO SRL
RO80BTRLRONSCNP563206701,INTERBRANDS MARKETING & DISTRIBUTIO,24730819,MAR SRL
RO70BTRLRONCRT0530184101,DESIGN DAMY EVENTS SRL,41873932,DESIGN DAMY EVENTS S.R.L.
RO97BRMA117000020837RO02,Aquila Part prod Com SRL,RO6484554,AQUILA PART PROD COM S.A.
RO09BACX0000000886666000,SC PRIMONET RO SRL,RO29972252,PRIMONET RO SRL
RO15INGB0000999905459316,GINZA INVEST SRL,RO21380190,GINZA INVEST SRL
RO54BTRL04101202K08466XX,INFRASTRUCTURE TELECOM SRL,RO23758714,INFRASTRUCTURE TELECOM SRL
RO46BRDE410SV02960304100,ADC BLACKFIRE ENTERTAINTMENT SRL,RO33441607,ADC BLACKFIRE ENTERTAINMENT SRL
RO21BRDE441SV44357324410,LUXURYGIFTS S.R.L.,RO35063974,LUXURYGIFTS S.R.L.
RO58BREL0002002375690100,MEDIA SUD EUROPA SA,6313740,MEDIA SUD EUROPA SA
RO04RNCB0072049700920001,AMO-PRODPRESS SRL,RO13766345,AMO-PRODPRESS SRL
RO50BRDE410SV35821884100,ABN SYSTEMS INTERNATIONAL S.A,14988404,ABN SYSTEMS INTERNATIONAL S.A.
RO27BACX0000001044222000,RINGIER ROMANIA S.R.L.,RO9060359,RINGIER ROMANIA SRL
RO61INGB0000999909010628,EURO TOYS & CANDY SRL,RO36073232,EURO TOYS & CANDY SRL
RO71BACX0000001926139000,YOOP RLX S.R.L.,RO32441633,YOOP RLX S.R.L.
RO57BTRLRONCRT0666205301,EVAPIFY TRADING S.R.L,RO47201442,EVAPIFY TRADING S.R.L
RO70BRDE441SV58305914410,ADEVARUL HOLDING SRL,RO18990288,ADEVARUL HOLDING SRL
RO10BRDE445SV12305374450,PRESSING COMPANY S.R.L.,RO10488023,PRESSING COMPANY S.R.L.
RO81RZBR0000060020863926,SANDWICH PROD SRL,34606916,SANDWICH PROD SRL
RO30BTRLRONCRT0205898301,REDY AUTO SHOP SRL,RO31308230,REDY AUTO SHOP SRL
RO72BTRLRONCRT0T0CC84501,EDITURA MAXIM CONCEPT SRL,RO32833947,EDITURA MAXIM CONCEPT SRL
RO72BACX0000001450625000,GRUP EDITORIAL LITERA SRL,26475186,GRUP EDITORIAL LITERA SRL
RO92BRDE410SV26461514100,CLUB MILITARI RESIDENCE S.R.L.,RO26487326,CLUB MILITARI RESIDENCE SRL
RO24BACX0000003017844000,SRBA Broker Bucuresti,,
RO55CECEB50401RON0714245,"C. N. ""Loteria Romana"" SA",,
RO05BACX0000001147738565,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO18BTRL04501202H0531813,WIN MAGAZIN SA,RO22338275,WIN MAGAZIN S.A.
RO14BACX0000002434589000,Condra Special Construct SRL,RO18845873,CONDRA SPECIAL CONSTRUCT S.R.L.
RO30INGB0001008223898910,COLUMBUS ACTIVE SRL,11515592,COLUMBUS ACTIVE SRL
RO50RNCB0175172450360005,IULIUS MALL SUCEAVA S.R.L,RO18948470,IULIUS MALL SUCEAVA SRL
RO75BTRLRONCRT0687350201,ALECSANDRI ESTATES SRL,RO24516778,ALECSANDRI ESTATES SRL
RO82CECEB00030RON2065874,PRAKTIKER REAL ESTATE ROMANIA SRL,RO18607340,PRAKTIKER REAL ESTATE ROMANIA SRL
RO11BACX0000002157675006,FUNSHOP PARK PLOIESTI S.R.L.,RO44239469,FUNSHOP PARK PLOIESTI S.R.L.
RO49BACX0000003620490000,Palas Campus SRL,RO42382879,PALAS CAMPUS S.R.L.
RO31BACX0000000037251251,ARENA CITY CENTER SRL,RO18356346,ARENA CITY CENTER SRL
RO17RNCB0066130297970001,Marketing Concept SRL,30912165,MARKETING CONCEPT SRL
RO94BTRL01701202471132XX,MERCUR SA,RO2297960,MERCUR SA
RO60BACX0000003579142000,Arion Green Felix SRL,RO40274501,ARION GREEN FELIX S.R.L.
RO69RZBR0000060017476223,Constanta Shopping City SRL,RO31377664,CONSTANTA SHOPPING CITY S.R.L.
RO58UGBI0000162010012RON,CENTRAL SA,RO199230,CENTRAL SA
RO33BRDE450SV01059614500,APA NOVA Bucuresti SA,12276949,APA NOVA BUCURESTI SA
RO63CITI0000000000083836,Aurora Mall Buzau SRL,30831176,AURORA MALL BUZAU SRL
RO52BTRLRONCRT0459724401,ANCA-IOANA MARCU?ANU - CAB. AVOCAT,24730819,MAR SRL
RO41BACX0000002326159004,FUNSHOP PARK ROSIORI S.R.L.,RO42193055,FUNSHOP PARK ROSIORI S.R.L.
RO27RZBR0000060012951056,A&B Activ Distribution SRL,RO11657333,A & B ACTIV DISTRIBUTION SRL
RO13BTRLRONCRT0351980801,OUTMOST SRL,36186991,OUTMOST S.R.L.
RO52INGB0001008142398920,CARREFOUR ROMANIA SA,11588780,CARREFOUR ROMANIA SA
RO80RNCB0067054355890004,OMV PETROM MARKETING SRL,RO11201891,OMV PETROM MARKETING SRL
RO68BACX0000000165427064,PALAS 1 SRL,RO22476820,PALAS 1 SRL
RO11BTRLRONCRT0524962101,POPA STELIAN VASILE PFA,,
